[2026-01-07 15:06:55,865: INFO: app: this is test logg]
[2026-01-07 15:07:20,460: INFO: app: this is test logg]
[2026-01-07 17:14:03,255: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-07 17:14:03,257: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-07 17:14:32,835: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-07 17:14:32,838: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-07 17:14:32,839: INFO: common: created directory at: artifacts]
[2026-01-07 17:14:32,841: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-07 17:14:37,251: INFO: 609305318: File is downloaded]
[2026-01-07 17:24:38,691: INFO: main: stage Data Ingestion stage initiated]
[2026-01-07 17:24:38,693: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-07 17:24:38,693: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-07 17:24:38,694: INFO: common: created directory at: artifacts]
[2026-01-07 17:24:38,694: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-07 17:24:38,695: INFO: data_ingestion: File already exits]
[2026-01-07 17:24:38,829: INFO: main: Stage Data Ingestion stage Completed]
